rm -f *.o
rm -f temp.txt
# rm -f sample_run
rm -f rtree
g++ -std=c++11 -c buffer_manager.cpp
g++ -std=c++11 -c file_manager.cpp
g++ -std=c++11 -c -g rtree.cpp
g++ -std=c++11 -c -g main.cpp
g++ -std=c++11 -o rtree buffer_manager.o file_manager.o rtree.o main.o
total_search_time = 167 , fetch_t = 130 , diff = 22 %
total_search_time = 85 , fetch_t = 75 , diff = 11 %
total_search_time = 93 , fetch_t = 78 , diff = 16 %
total_search_time = 120 , fetch_t = 99 , diff = 17 %
total_search_time = 144 , fetch_t = 115 , diff = 20 %
total_search_time = 124 , fetch_t = 83 , diff = 33 %
total_search_time = 104 , fetch_t = 87 , diff = 16 %
total_search_time = 106 , fetch_t = 85 , diff = 19 %
total_search_time = 101 , fetch_t = 83 , diff = 17 %
total_search_time = 157 , fetch_t = 120 , diff = 23 %
total_search_time = 122 , fetch_t = 99 , diff = 18 %
total_search_time = 100 , fetch_t = 82 , diff = 18 %
total_search_time = 63 , fetch_t = 51 , diff = 19 %
total_search_time = 121 , fetch_t = 98 , diff = 19 %
total_search_time = 80 , fetch_t = 66 , diff = 17 %
total_search_time = 86 , fetch_t = 67 , diff = 22 %
total_search_time = 126 , fetch_t = 99 , diff = 21 %
total_search_time = 148 , fetch_t = 115 , diff = 22 %
total_search_time = 188 , fetch_t = 147 , diff = 21 %
total_search_time = 170 , fetch_t = 129 , diff = 24 %
total_search_time = 114 , fetch_t = 88 , diff = 22 %
total_search_time = 92 , fetch_t = 78 , diff = 15 %
total_search_time = 85 , fetch_t = 67 , diff = 21 %
total_search_time = 101 , fetch_t = 84 , diff = 16 %
total_search_time = 102 , fetch_t = 84 , diff = 17 %
total_search_time = 102 , fetch_t = 84 , diff = 17 %
total_search_time = 137 , fetch_t = 107 , diff = 21 %
total_search_time = 268 , fetch_t = 207 , diff = 22 %
total_search_time = 453 , fetch_t = 392 , diff = 13 %
total_search_time = 360 , fetch_t = 290 , diff = 19 %
total_search_time = 377 , fetch_t = 306 , diff = 18 %
total_search_time = 277 , fetch_t = 240 , diff = 13 %
total_search_time = 118 , fetch_t = 99 , diff = 16 %
total_search_time = 349 , fetch_t = 288 , diff = 17 %
total_search_time = 232 , fetch_t = 196 , diff = 15 %
total_search_time = 208 , fetch_t = 168 , diff = 19 %
total_search_time = 227 , fetch_t = 186 , diff = 18 %
total_search_time = 423 , fetch_t = 346 , diff = 18 %
total_search_time = 247 , fetch_t = 192 , diff = 22 %
total_search_time = 251 , fetch_t = 215 , diff = 14 %
total_search_time = 353 , fetch_t = 302 , diff = 14 %
total_search_time = 372 , fetch_t = 304 , diff = 18 %
total_search_time = 302 , fetch_t = 255 , diff = 15 %
total_search_time = 244 , fetch_t = 193 , diff = 20 %
total_search_time = 234 , fetch_t = 187 , diff = 20 %
total_search_time = 109 , fetch_t = 94 , diff = 13 %
total_search_time = 249 , fetch_t = 201 , diff = 19 %
total_search_time = 102 , fetch_t = 80 , diff = 21 %
total_search_time = 216 , fetch_t = 167 , diff = 22 %
total_search_time = 226 , fetch_t = 178 , diff = 21 %
total_search_time = 149 , fetch_t = 120 , diff = 19 %
total_search_time = 155 , fetch_t = 124 , diff = 20 %
total_search_time = 240 , fetch_t = 171 , diff = 28 %
total_search_time = 154 , fetch_t = 123 , diff = 20 %
total_search_time = 286 , fetch_t = 246 , diff = 13 %
total_search_time = 324 , fetch_t = 274 , diff = 15 %
total_search_time = 210 , fetch_t = 163 , diff = 22 %
total_search_time = 118 , fetch_t = 94 , diff = 20 %
total_search_time = 82 , fetch_t = 65 , diff = 20 %
total_search_time = 207 , fetch_t = 163 , diff = 21 %
total_search_time = 222 , fetch_t = 167 , diff = 24 %
total_search_time = 222 , fetch_t = 183 , diff = 17 %
total_search_time = 136 , fetch_t = 105 , diff = 22 %
total_search_time = 187 , fetch_t = 148 , diff = 20 %
total_search_time = 88 , fetch_t = 70 , diff = 20 %
total_search_time = 229 , fetch_t = 180 , diff = 21 %
total_search_time = 160 , fetch_t = 127 , diff = 20 %
total_search_time = 81 , fetch_t = 64 , diff = 20 %
total_search_time = 166 , fetch_t = 127 , diff = 23 %
total_search_time = 161 , fetch_t = 128 , diff = 20 %
total_search_time = 136 , fetch_t = 106 , diff = 22 %
total_search_time = 218 , fetch_t = 167 , diff = 23 %
total_search_time = 111 , fetch_t = 87 , diff = 21 %
total_search_time = 162 , fetch_t = 130 , diff = 19 %
total_search_time = 102 , fetch_t = 87 , diff = 14 %
total_search_time = 194 , fetch_t = 148 , diff = 23 %
total_search_time = 81 , fetch_t = 64 , diff = 20 %
total_search_time = 131 , fetch_t = 106 , diff = 19 %
total_search_time = 217 , fetch_t = 169 , diff = 22 %
total_search_time = 221 , fetch_t = 169 , diff = 23 %
total_search_time = 139 , fetch_t = 107 , diff = 23 %
total_search_time = 217 , fetch_t = 169 , diff = 22 %
total_search_time = 152 , fetch_t = 122 , diff = 19 %
total_search_time = 218 , fetch_t = 169 , diff = 22 %
total_search_time = 101 , fetch_t = 81 , diff = 19 %
total_search_time = 96 , fetch_t = 78 , diff = 18 %
total_search_time = 189 , fetch_t = 144 , diff = 23 %
total_search_time = 50 , fetch_t = 40 , diff = 20 %
total_search_time = 141 , fetch_t = 117 , diff = 17 %
total_search_time = 188 , fetch_t = 136 , diff = 27 %
total_search_time = 163 , fetch_t = 130 , diff = 20 %
total_search_time = 235 , fetch_t = 189 , diff = 19 %
total_search_time = 193 , fetch_t = 150 , diff = 22 %
total_search_time = 145 , fetch_t = 113 , diff = 22 %
total_search_time = 278 , fetch_t = 220 , diff = 20 %
total_search_time = 162 , fetch_t = 140 , diff = 13 %
total_search_time = 243 , fetch_t = 194 , diff = 20 %
total_search_time = 175 , fetch_t = 138 , diff = 21 %
total_search_time = 200 , fetch_t = 157 , diff = 21 %
total_search_time = 275 , fetch_t = 210 , diff = 23 %
total_search_time = 143 , fetch_t = 119 , diff = 16 %
total_search_time = 178 , fetch_t = 141 , diff = 20 %
total_search_time = 159 , fetch_t = 127 , diff = 20 %
total_search_time = 225 , fetch_t = 159 , diff = 29 %
total_search_time = 194 , fetch_t = 154 , diff = 20 %
total_search_time = 89 , fetch_t = 77 , diff = 13 %
total_search_time = 120 , fetch_t = 97 , diff = 19 %
total_search_time = 107 , fetch_t = 82 , diff = 23 %
total_search_time = 65 , fetch_t = 52 , diff = 20 %
total_search_time = 142 , fetch_t = 113 , diff = 20 %
total_search_time = 128 , fetch_t = 98 , diff = 23 %
total_search_time = 78 , fetch_t = 66 , diff = 15 %
total_search_time = 81 , fetch_t = 67 , diff = 17 %
total_search_time = 101 , fetch_t = 83 , diff = 17 %
total_search_time = 98 , fetch_t = 83 , diff = 15 %
total_search_time = 81 , fetch_t = 67 , diff = 17 %
total_search_time = 103 , fetch_t = 83 , diff = 19 %
total_search_time = 152 , fetch_t = 116 , diff = 23 %
total_search_time = 165 , fetch_t = 131 , diff = 20 %
total_search_time = 100 , fetch_t = 83 , diff = 17 %
total_search_time = 64 , fetch_t = 51 , diff = 20 %
total_search_time = 169 , fetch_t = 130 , diff = 23 %
total_search_time = 103 , fetch_t = 82 , diff = 20 %
total_search_time = 107 , fetch_t = 83 , diff = 22 %
total_search_time = 82 , fetch_t = 68 , diff = 17 %
total_search_time = 77 , fetch_t = 65 , diff = 15 %
total_search_time = 123 , fetch_t = 97 , diff = 21 %
total_search_time = 145 , fetch_t = 116 , diff = 20 %
total_search_time = 105 , fetch_t = 83 , diff = 20 %
total_search_time = 64 , fetch_t = 51 , diff = 20 %
total_search_time = 122 , fetch_t = 99 , diff = 18 %
total_search_time = 130 , fetch_t = 101 , diff = 22 %
total_search_time = 146 , fetch_t = 114 , diff = 21 %
total_search_time = 356 , fetch_t = 272 , diff = 23 %
total_search_time = 449 , fetch_t = 378 , diff = 15 %
total_search_time = 373 , fetch_t = 332 , diff = 10 %
total_search_time = 148 , fetch_t = 121 , diff = 18 %
total_search_time = 161 , fetch_t = 135 , diff = 16 %
total_search_time = 90 , fetch_t = 68 , diff = 24 %
total_search_time = 126 , fetch_t = 98 , diff = 22 %
total_search_time = 185 , fetch_t = 147 , diff = 20 %
total_search_time = 78 , fetch_t = 67 , diff = 14 %
total_search_time = 107 , fetch_t = 83 , diff = 22 %
total_search_time = 103 , fetch_t = 83 , diff = 19 %
total_search_time = 104 , fetch_t = 84 , diff = 19 %
total_search_time = 104 , fetch_t = 83 , diff = 20 %
total_search_time = 118 , fetch_t = 88 , diff = 25 %
total_search_time = 171 , fetch_t = 139 , diff = 18 %
total_search_time = 165 , fetch_t = 131 , diff = 20 %
total_search_time = 80 , fetch_t = 67 , diff = 16 %
total_search_time = 81 , fetch_t = 67 , diff = 17 %
total_search_time = 122 , fetch_t = 99 , diff = 18 %
total_search_time = 150 , fetch_t = 115 , diff = 23 %
total_search_time = 150 , fetch_t = 116 , diff = 22 %
total_search_time = 165 , fetch_t = 127 , diff = 23 %
total_search_time = 192 , fetch_t = 148 , diff = 22 %
total_search_time = 137 , fetch_t = 107 , diff = 21 %
total_search_time = 138 , fetch_t = 108 , diff = 21 %
total_search_time = 106 , fetch_t = 83 , diff = 21 %
total_search_time = 143 , fetch_t = 114 , diff = 20 %
total_search_time = 196 , fetch_t = 152 , diff = 22 %
total_search_time = 146 , fetch_t = 108 , diff = 26 %
total_search_time = 230 , fetch_t = 186 , diff = 19 %
total_search_time = 200 , fetch_t = 162 , diff = 19 %
total_search_time = 97 , fetch_t = 74 , diff = 23 %
total_search_time = 111 , fetch_t = 91 , diff = 18 %
total_search_time = 151 , fetch_t = 119 , diff = 21 %
total_search_time = 183 , fetch_t = 142 , diff = 22 %
total_search_time = 160 , fetch_t = 136 , diff = 15 %
total_search_time = 232 , fetch_t = 187 , diff = 19 %
total_search_time = 116 , fetch_t = 88 , diff = 24 %
total_search_time = 234 , fetch_t = 183 , diff = 21 %
total_search_time = 391 , fetch_t = 353 , diff = 9 %
total_search_time = 232 , fetch_t = 193 , diff = 16 %
total_search_time = 222 , fetch_t = 190 , diff = 14 %
total_search_time = 351 , fetch_t = 290 , diff = 17 %
total_search_time = 298 , fetch_t = 244 , diff = 18 %
total_search_time = 228 , fetch_t = 192 , diff = 15 %
total_search_time = 377 , fetch_t = 310 , diff = 17 %
total_search_time = 323 , fetch_t = 271 , diff = 16 %
total_search_time = 337 , fetch_t = 280 , diff = 16 %
total_search_time = 427 , fetch_t = 359 , diff = 15 %
total_search_time = 398 , fetch_t = 332 , diff = 16 %
total_search_time = 140 , fetch_t = 123 , diff = 12 %
total_search_time = 242 , fetch_t = 187 , diff = 22 %
total_search_time = 26 , fetch_t = 24 , diff = 7 %
total_search_time = 109 , fetch_t = 92 , diff = 15 %
total_search_time = 197 , fetch_t = 161 , diff = 18 %
total_search_time = 308 , fetch_t = 253 , diff = 17 %
total_search_time = 149 , fetch_t = 118 , diff = 20 %
total_search_time = 420 , fetch_t = 339 , diff = 19 %
total_search_time = 174 , fetch_t = 143 , diff = 17 %
total_search_time = 114 , fetch_t = 89 , diff = 21 %
total_search_time = 155 , fetch_t = 121 , diff = 21 %
total_search_time = 211 , fetch_t = 175 , diff = 17 %
total_search_time = 191 , fetch_t = 148 , diff = 22 %
total_search_time = 142 , fetch_t = 123 , diff = 13 %
total_search_time = 240 , fetch_t = 192 , diff = 20 %
total_search_time = 155 , fetch_t = 130 , diff = 16 %
total_search_time = 197 , fetch_t = 151 , diff = 23 %
total_search_time = 83 , fetch_t = 69 , diff = 16 %
total_search_time = 157 , fetch_t = 120 , diff = 23 %
total_search_time = 222 , fetch_t = 173 , diff = 22 %
total_search_time = 100 , fetch_t = 80 , diff = 20 %
total_search_time = 97 , fetch_t = 73 , diff = 24 %
total_search_time = 95 , fetch_t = 80 , diff = 15 %
total_search_time = 98 , fetch_t = 78 , diff = 20 %
total_search_time = 180 , fetch_t = 136 , diff = 24 %
total_search_time = 123 , fetch_t = 101 , diff = 17 %
total_search_time = 98 , fetch_t = 79 , diff = 19 %
total_search_time = 124 , fetch_t = 103 , diff = 16 %
total_search_time = 228 , fetch_t = 182 , diff = 20 %
total_search_time = 151 , fetch_t = 113 , diff = 25 %
total_search_time = 353 , fetch_t = 295 , diff = 16 %
total_search_time = 155 , fetch_t = 124 , diff = 20 %
total_search_time = 358 , fetch_t = 282 , diff = 21 %
total_search_time = 251 , fetch_t = 200 , diff = 20 %
total_search_time = 158 , fetch_t = 133 , diff = 15 %
total_search_time = 266 , fetch_t = 207 , diff = 22 %
total_search_time = 223 , fetch_t = 186 , diff = 16 %
total_search_time = 93 , fetch_t = 78 , diff = 16 %
total_search_time = 183 , fetch_t = 144 , diff = 21 %
total_search_time = 98 , fetch_t = 86 , diff = 12 %
